RANK,TEAM,SEASON,CONFERENCE,DIVISION,W,L,W/L%,MOV,ORTG,DRTG,NRTG,ADJUSTED_MOV,ADJUSTED_ORTG,ADJUSTED_DRTG,ADJUSTED_NRTG
5,Orlando Magic,2010-2011,E,SE,52,30,0.634,5.46,108.78,102.87,5.91,4.92,108.63,103.31,5.32
6,Boston Celtics,2010-2011,E,A,56,26,0.6829999999999999,5.37,107.36,101.46,5.9,4.83,107.03,101.73,5.3
7,Denver Nuggets,2010-2011,W,NW,50,32,0.61,4.76,112.84,108.03,4.82,4.81,112.73,107.84,4.89
8,Dallas Mavericks,2010-2011,W,SW,57,25,0.695,4.23,110.24,105.76,4.49,4.41,110.08,105.4,4.68
9,Oklahoma City Thunder,2010-2011,W,NW,55,27,0.6709999999999999,3.79,112.2,108.06,4.14,3.81,112.09,107.93,4.16
10,Memphis Grizzlies,2010-2011,W,SW,46,36,0.561,2.34,108.52,105.98,2.55,2.55,108.42,105.65,2.77
11,Houston Rockets,2010-2011,W,SW,43,39,0.524,2.18,112.02,109.67,2.35,2.37,112.07,109.51,2.56
12,Portland Trail Blazers,2010-2011,W,NW,48,34,0.585,1.52,109.78,107.93,1.85,1.85,109.73,107.54,2.19
13,New Orleans Hornets,2010-2011,W,SW,46,36,0.561,0.89,107.25,106.19,1.06,1.28,107.18,105.7,1.48
14,Philadelphia 76ers,2010-2011,E,A,41,41,0.5,1.5,107.62,106.02,1.6,1.01,107.55,106.48,1.07
15,New York Knicks,2010-2011,E,A,42,40,0.512,0.78,111.76,110.92,0.84,0.48,112.0,111.48,0.51
