"bbref_id","season","salary","contract_type","salary_prop_cap"
"arenagi01",2003,512435,"past",0.0127246653919694
"arenagi01",2004,8536000,"past",0.19470802919708
"arenagi01",2005,9389600,"past",0.214032368361067
"arenagi01",2006,10243200,"past",0.206933333333333
"arenagi01",2007,11096800,"past",0.208841629810859
"arenagi01",2008,11950400,"past",0.214819342081611
"arenagi01",2009,14653466,"past",0.249718234492161
"arenagi01",2010,16192080,"past",0.280625303292894
"arenagi01",2011,17730694,"past",0.305469884914892
"arenagi01",2012,19269307,"past",0.331977585969265
"arenagi01",2013,20807922,"past",0.358485321480256
"arizatr01",2005,385277,"past",0.00878224299065421
"arizatr01",2006,682051,"past",0.0137788080808081
"arizatr01",2007,3100000,"past",0.0583419591606286
"arizatr01",2008,3100000,"past",0.0557253280603991
"arizatr01",2009,3100000,"past",0.0528289025221541
"arizatr01",2010,5854000,"past",0.101455805892548
"arizatr01",2011,6322320,"past",0.108922886086417
"arizatr01",2012,6790640,"past",0.116991248018744
"arizatr01",2013,7258960,"past",0.125059609951072
"arizatr01",2014,7727280,"past",0.13168731573476
"arizatr01",2015,8579089,"past",0.136035661618965
"arizatr01",2016,8193030,"past",0.117043285714286
"arizatr01",2017,7806971,"past",0.0829267284875137
"arizatr01",2018,7420912,"past",0.0748883574016328
"arizatr01",2019,1.5e+07,"regular",0.147247936074763
"arizatr01",2020,12200000,"regular",0.111926605504587
"arizatr01",2021,12800000,"regular",0.110344827586207
"armstda01",1996,350000,"past",0.0152173913043478
"armstda01",1997,410000,"past",0.0168287977671059
"armstda01",1998,350000,"past",0.0130111524163569
"armstda01",1999,2900000,"past",0.0966666666666667
"armstda01",2000,4125000,"past",0.121323529411765
"armstda01",2001,3100000,"past",0.0873239436619718
"armstda01",2002,4005000,"past",0.0942352941176471
"armstda01",2003,4010000,"past",0.0995753768220307
"armstda01",2004,2475000,"past",0.0564552919708029
"armstda01",2005,2275000,"past",0.0518577615682699
"armstda01",2006,1138500,"past",0.023
"armstda01",2007,1178348,"past",0.0221764938364543
"armstda01",2008,1219590,"past",0.0219232428545749
"armsthi01",2007,1767600,"past",0.0332662087136539
"armsthi01",2008,1900200,"past",0.0341578285097969
"armsthi01",2009,2032800,"past",0.0346421267893661
"armsthi01",2010,2801198,"past",0.0485476256499133
"armsthi01",2011,992680,"past",0.0171021983322996
"arroyca01",2002,332817,"past",0.00783098823529412
"arroyca01",2003,546000,"past",0.013558143577264
"arroyca01",2004,8e+05,"past",0.0182481751824818
"arroyca01",2005,4e+06,"past",0.0911784818782767
"arroyca01",2006,4e+06,"past",0.0808080808080808
"arroyca01",2007,4100000,"past",0.0771619459866378
"arroyca01",2008,4100000,"past",0.0737012403379472
"arroyca01",2010,1107572,"past",0.0191953552859619
"arroyca01",2011,1223166,"past",0.0210730824891462
"artesro01",2000,1079760,"past",0.0317576470588235
"artesro01",2001,1160760,"past",0.0326974647887324
"artesro01",2002,1241760,"past",0.0292178823529412
"artesro01",2003,1904860,"past",0.0473010354845919
"artesro01",2004,5473684,"past",0.124855930656934
"artesro01",2005,6157895,"past",0.140366879416458
"artesro01",2006,6842105,"past",0.138224343434343
"artesro01",2007,7526316,"past",0.141645167968382
"artesro01",2008,7400000,"past",0.133021750853856
"artesro01",2009,7400000,"past",0.126107702794819
"artesro01",2010,5854000,"past",0.101455805892548
"artesro01",2011,6322320,"past",0.108922886086417
"artesro01",2012,6790640,"past",0.116991248018744
"artesro01",2013,7258960,"past",0.125059609951072
"artesro01",2014,1590000,"past",0.0270965762879395
"artesro01",2016,1499187,"past",0.0214169571428571
"artesro01",2017,1551659,"past",0.0164819370532063
"arthuda01",2009,977160,"past",0.0166523517382413
"arthuda01",2010,1050480,"past",0.0182058925476603
"arthuda01",2011,1123680,"past",0.0193591068844325
"arthuda01",2012,2027119,"past",0.0349238336434429
"arthuda01",2013,3006217,"past",0.0517920370753222
"arthuda01",2014,3231683,"past",0.055073927640212
"arthuda01",2015,3457149,"past",0.0548188218504717
"arthuda01",2016,2814000,"past",0.0402
"arthuda01",2017,8070175,"past",0.0857225178717483
"arthuda01",2018,7464912,"past",0.0753323847294965
"arthuda01",2019,7464912,"regular",0.0732795256653153
"artisja01",2018,NA,"past",NA
"asikom01",2011,1721000,"past",0.029649920749776
"asikom01",2012,1857500,"past",0.0320015850044794
"asikom01",2013,8374646,"past",0.144280993728895
"asikom01",2014,8374646,"past",0.142719644165715
"asikom01",2015,8374646,"past",0.132793879330849
"asikom01",2016,1.1e+07,"past",0.157142857142857
"asikom01",2017,9904494,"past",0.105206908638985
"asikom01",2018,10595505,"past",0.106924858466289
"asikom01",2019,11286516,"regular",0.110794412431652
"asikom01",2020,3e+06,"regular",0.0275229357798165
"atkinch01",2000,385000,"past",0.0113235294117647
"atkinch01",2001,3e+06,"past",0.0845070422535211
"atkinch01",2002,3300000,"past",0.0776470588235294
"atkinch01",2003,3600000,"past",0.0893943532566859
"atkinch01",2004,3900000,"past",0.0889598540145985
"atkinch01",2005,4200000,"past",0.0957374059721906
"atkinch01",2006,4500000,"past",0.0909090909090909
"atkinch01",2007,3e+06,"past",0.0564599604780277
"atkinch01",2008,3e+06,"past",0.0539277368326443
"atkinch01",2009,3240000,"past",0.0552147239263804
"atkinch01",2010,2066455,"past",0.0358137781629116
"augmost01",1992,875000,"past",0.07
"augmost01",1993,1138000,"past",0.0812857142857143
"augmost01",1994,1400000,"past",0.0922570016474465
"augmost01",1995,1662500,"past",0.104140566274117
"augmost01",1996,2160000,"past",0.0939130434782609
"augmost01",1997,2480000,"past",0.101793703566884
"augmost01",1998,2800000,"past",0.104089219330855
"augmost01",1999,3200000,"past",0.106666666666667
"augmost01",2000,3960000,"past",0.116470588235294
"augmost01",2001,923500,"past",0.0260140845070423
"augmost01",2002,2400000,"past",0.0564705882352941
"augmost01",2003,2400000,"past",0.0595962355044573
"augmost01",2004,2400000,"past",0.0547445255474453
"augmost01",2005,1100000,"past",0.0250740825165261
"augmost01",2006,1138500,"past",0.023
"augusdj01",2009,2208960,"past",0.0376441717791411
"augusdj01",2010,2385480,"past",0.0413428076256499
"augusdj01",2011,2540400,"past",0.0437667976018193
"augusdj01",2012,3236470,"past",0.0557589070360416
"augusdj01",2013,3500000,"past",0.0602990834539315
