RANK,SEASON,TEAM,PLAYOFF_TEAM,G,MP,FG%,AVERAGE_DISTANCE,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,FGA_16-3PT,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3PT,FG%_3P,%ASTD_2P,%FGA_DUNKS,DUNKS_MADE,%FGA_LAYUPS,LAYUPS_MADE,%ASTD_3P,%FGA3P_CORNER,FG%3_CORNER,HEAVE_ATTEMPTS,HEAVE_MAKES
21.0,2008-2009,Oklahoma City Thunder,0,82,19805,0.447,11.0,0.8590000000000001,0.33799999999999997,0.134,0.138,0.248,0.141,0.46299999999999997,0.606,0.358,0.38799999999999996,0.368,0.34600000000000003,0.515,0.071,429,0.25,885,0.878,0.217,0.345,12.0,0.0
22.0,2008-2009,Orlando Magic,1,82,19730,0.457,13.6,0.665,0.282,0.127,0.10099999999999999,0.155,0.335,0.495,0.623,0.405,0.424,0.381,0.381,0.41700000000000004,0.054000000000000006,327,0.215,761,0.871,0.303,0.395,11.0,0.0
23.0,2008-2009,Philadelphia 76ers,1,82,19755,0.45899999999999996,10.8,0.836,0.382,0.11199999999999999,0.138,0.204,0.16399999999999998,0.486,0.598,0.385,0.397,0.39399999999999996,0.318,0.516,0.07400000000000001,458,0.293,984,0.809,0.285,0.348,14.0,1.0
24.0,2008-2009,Phoenix Suns,0,82,19755,0.504,10.9,0.784,0.363,0.16399999999999998,0.1,0.158,0.21600000000000003,0.537,0.665,0.442,0.387,0.43700000000000006,0.38299999999999995,0.52,0.078,471,0.271,1105,0.7959999999999999,0.297,0.39399999999999996,18.0,0.0
25.0,2008-2009,Portland Trail Blazers,1,82,19830,0.465,12.8,0.7609999999999999,0.294,0.126,0.109,0.231,0.239,0.49,0.621,0.419,0.382,0.414,0.38299999999999995,0.467,0.075,437,0.198,693,0.9009999999999999,0.395,0.402,29.0,1.0
26.0,2008-2009,Sacramento Kings,0,82,19905,0.447,12.7,0.762,0.29,0.141,0.10300000000000001,0.22899999999999998,0.23800000000000002,0.47200000000000003,0.596,0.37799999999999995,0.408,0.402,0.368,0.48100000000000004,0.044000000000000004,268,0.22699999999999998,840,0.79,0.26899999999999996,0.42100000000000004,17.0,0.0
27.0,2008-2009,San Antonio Spurs,1,82,19905,0.466,13.4,0.752,0.253,0.14,0.109,0.25,0.248,0.49200000000000005,0.616,0.456,0.405,0.424,0.386,0.489,0.012,75,0.23399999999999999,914,0.885,0.376,0.39399999999999996,9.0,0.0
28.0,2008-2009,Toronto Raptors,0,82,19805,0.45799999999999996,13.1,0.807,0.264,0.11699999999999999,0.132,0.294,0.193,0.478,0.601,0.42,0.375,0.43799999999999994,0.37200000000000005,0.5429999999999999,0.054000000000000006,318,0.193,692,0.91,0.247,0.42100000000000004,16.0,0.0
29.0,2008-2009,Utah Jazz,1,82,19880,0.475,11.2,0.831,0.379,0.10099999999999999,0.091,0.259,0.16899999999999998,0.5,0.614,0.371,0.42200000000000004,0.41200000000000003,0.349,0.609,0.068,412,0.289,1057,0.893,0.205,0.4,9.0,0.0
30.0,2008-2009,Washington Wizards,0,82,19705,0.45,11.9,0.82,0.317,0.154,0.107,0.242,0.18,0.47600000000000003,0.614,0.386,0.38299999999999995,0.395,0.33,0.506,0.043,276,0.261,969,0.825,0.192,0.326,6.0,0.0
