"bbref_id","season","age","experience","team","league","position","games_played","minutes_played","on_court_plus_minus","off_court_plus_minus","prop_pg","prop_sg","prop_sf","prop_pf","prop_c","minutes_pg","minutes_sg","minutes_sf","minutes_pf","minutes_c","position_minutes","position_numeric","team_flag","advanced_position_cluster"
"jordade01",2010,21,2,"LAC","NBA","C",70,1137,-10.6,-5,0,0,0,0.28,0.72,0,0,0,318.36,818.64,"C",4.72,TRUE,"Big"
"jordade01",2011,22,3,"LAC","NBA","C",80,2047,-1.9,3.6,0,0,0,0.03,0.97,0,0,0,61.41,1985.59,"C",4.97,TRUE,"Big"
"jordade01",2012,23,4,"LAC","NBA","C",66,1798,5.6,6.1,0,0,0,0,1,0,0,0,0,1798,"C",5,TRUE,"Big"
"jordade01",2013,24,5,"LAC","NBA","C",82,2010,8,2,0,0,0,0.01,0.99,0,0,0,20.1,1989.9,"C",4.99,TRUE,"Big"
"jordade01",2014,25,6,"LAC","NBA","C",82,2870,9,6.9,0,0,0,0.01,0.99,0,0,0,28.7,2841.3,"C",4.99,TRUE,"Big"
"jordade01",2015,26,7,"LAC","NBA","C",82,2820,11.8,15.4,0,0,0,0,1,0,0,0,0,2820,"C",5,TRUE,"Big"
"jordade01",2016,27,8,"LAC","NBA","C",77,2598,9.1,13.7,0,0,0,0,1,0,0,0,0,2598,"C",5,TRUE,"Big"
"jordade01",2017,28,9,"LAC","NBA","C",81,2570,9.1,14.3,0,0,0,0,1,0,0,0,0,2570,"C",5,TRUE,"Big"
"jordade01",2018,29,10,"LAC","NBA","C",77,2424,-2.4,-6.9,0,0,0,0,1,0,0,0,0,2424,"C",5,TRUE,"Big"
"jordade01",2019,30,11,"TOT","NBA","C",69,2047,-5.8,-0.4,0,0,0,0,1,0,0,0,0,2047,"C",5,TRUE,"Big"
"nelsode01",2009,23,1,"GSW","NBA","PG",13,171,-10.5,-6.9,0.69,0.31,0,0,0,117.99,53.01,0,0,0,"PG",1.31,TRUE,"Guard"
"rosede01",2009,20,1,"CHI","NBA","PG",81,3000,-2.2,-8.1,0.99,0.01,0,0,0,2970,30,0,0,0,"PG",1.01,TRUE,"Guard"
"rosede01",2010,21,2,"CHI","NBA","PG",78,2871,-0.3,4.4,0.9,0.1,0,0,0,2583.9,287.1,0,0,0,"PG",1.1,TRUE,"Guard"
"rosede01",2011,22,3,"CHI","NBA","PG",81,3026,8.8,2.8,0.95,0.05,0,0,0,2874.7,151.3,0,0,0,"PG",1.05,TRUE,"Guard"
"rosede01",2012,23,4,"CHI","NBA","PG",39,1375,10.7,2,0.93,0.07,0,0,0,1278.75,96.25,0,0,0,"PG",1.07,TRUE,"Guard"
"rosede01",2014,25,5,"CHI","NBA","PG",10,311,-4.9,-7.6,1,0,0,0,0,311,0,0,0,0,"PG",1,TRUE,"Guard"
"rosede01",2015,26,6,"CHI","NBA","PG",51,1530,3.8,0.9,0.88,0.13,0,0,0,1346.4,198.9,0,0,0,"PG",1.14,TRUE,"Guard"
"rosede01",2016,27,7,"CHI","NBA","PG",66,2097,-3.9,-4.7,0.95,0.06,0,0,0,1992.15,125.82,0,0,0,"PG",1.07,TRUE,"Guard"
"rosede01",2017,28,8,"NYK","NBA","PG",64,2082,-4.1,-0.5,0.83,0.17,0,0,0,1728.06,353.94,0,0,0,"PG",1.17,TRUE,"Guard"
"rosede01",2018,29,9,"TOT","NBA","PG",25,420,-5.5,-7.7,0.71,0.28,0.01,0,0,298.2,117.6,4.2,0,0,"PG",1.3,TRUE,"Guard"
"rosede01",2019,30,10,"MIN","NBA","PG",51,1392,0.6,3.4,0.31,0.69,0,0,0,431.52,960.48,0,0,0,"SG",1.69,TRUE,"Guard"
